ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807828070711296,2022-02-16_13:41:54,"RT @utaumi0430: Vライバーさんでも良きです°･🐠
2枚目をしっかり読んで是非参加してください(*´ω｀*)
推し探しの一環なので

#RTしたVtuberを描く 
#RTしたVtuberさんを描く 
#Vtuberさんと繋がりたい 
#Vtuber好きさんと繋が…",0,25,1527262981,ikusaba_Vtuber,3/11APEXカスタム開催＠戦場 零夢⚔🐟,推しマ⚔🐟/配信タグ：＃戦場記録/ファンアート:＃戦場写真/ファンネーム:戦友 コラボ等のお誘いはDMにて常に募集中(準備中･Vでない方も可)気軽にお声掛けください！ モンハンRISEディスコ設立者/ホロリス・推し:😈🌽🌿 日常垢@ikusabu_Vtuber,1432,1046,2013-06-18_18:14:50,False,http://pbs.twimg.com/profile_images/1478334402128379904/Thq0L7Ot_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/glnWcZjdkp
1493807823922536450,2022-02-16_13:41:53,"RT @KasuyaMofu: 【VTuberの皆様へ注意喚起】
Amazonの公開欲しいものリストを元に、電話番号を取得できる手法が存在します。

セキュリティ資格保持者として、手法が自アカで再現することを確認しましたので、対策がなされるまで、欲しいものリストを非公開にするこ…",0,1462,146829364,NamelessSoldier,AS VAL,無限にゾーイちゃんを愛してる底辺騎空士ドアガンナー だいたいグラブってる。稀にサバゲも 気軽にリプとかどうぞ。,285,206,2010-05-22_22:06:46,False,http://pbs.twimg.com/profile_images/1188830918233837574/8N09wbOY_normal.png,http://abs.twimg.com/images/themes/theme9/bg.gif,https://t.co/2tNF9nFVE6
1493807823889010691,2022-02-16_13:41:53,@ZERO_VtubeR 欲張りセット,0,0,1195271788743102464,REDCOP1192,世界樹の細胞軍R&L,"いいねとコメントをばらまくのは仕様。
🍆ナス

艦これとモンストとfeh やってます。
美味しそうな身体してる子はコメント書くくらい大好きです。

原神始めました。パイモンぷにぷに
なにかあるとナスが飛びます

カカポも回ります

メルカリ始めました！",731,730,2019-11-15_18:26:37,False,http://pbs.twimg.com/profile_images/1477665883590135809/cJq-NyjR_normal.jpg,,
1493807823330758658,2022-02-16_13:41:53,"RT @KasuyaMofu: 【VTuberの皆様へ注意喚起】
Amazonの公開欲しいものリストを元に、電話番号を取得できる手法が存在します。

セキュリティ資格保持者として、手法が自アカで再現することを確認しましたので、対策がなされるまで、欲しいものリストを非公開にするこ…",0,1462,1438145068737589251,Somari_Oribe,織部ソマリ🐈作業中,猫好き🐱ファンタジー要素のある優しいお話書いてます。猫、ものづくり、ごはん、中華もの、恋愛もの。アルファポリス第14回恋愛小説大賞【中華・後宮ラブ賞】受賞 ・書籍化進行中🐈『恋文やしろのお猫様』『見習い錬金術師はパンを焼く』1～2巻発売中 🐱小説・漫画原作のお仕事のご依頼は↓プロフカード内メルフォよりお願いします,457,561,2021-09-15_23:18:14,False,http://pbs.twimg.com/profile_images/1474175838757453827/j4jADsfK_normal.jpg,,https://t.co/uEqJmepYOb
1493807813134790658,2022-02-16_13:41:50,"RT @allianzkadett: 『UFOキャッチャー』
はこっぽいどこころさんのプライズ品が出たのでクレーンゲームに挑戦する燐夏さん
#MMD #Vtuber #りんかぁと #画狼伝説 https://t.co/RYdcKggNCs",0,8,1283586353779798016,yoshibanakokoro,吉花こころ🐺💙,DiSPLAYER所属のVtuber吉花こころです❁個人勢❁ ぽんP(パパ)🍅：@paint002 / 深P：＠fpworks / ぴ🏁🎆：@Rinka_RB / Tag #ココロマチ FanArt #画狼伝説 切り抜き #見どこころ ▷規約や連絡先https://t.co/hEOKI5Bo7i,344,6375,2020-07-16_11:17:08,False,http://pbs.twimg.com/profile_images/1469103437384073216/dmZ2AGr8_normal.jpg,,https://t.co/p73Ura1m8S
1493807809460248578,2022-02-16_13:41:50,"RT @KasuyaMofu: 【VTuberの皆様へ注意喚起】
Amazonの公開欲しいものリストを元に、電話番号を取得できる手法が存在します。

セキュリティ資格保持者として、手法が自アカで再現することを確認しましたので、対策がなされるまで、欲しいものリストを非公開にするこ…",0,1462,4725913814,yokilok,yujif91💺🛏️,６月９日幼女の椅子とベッドになる権利を獲得しました。,262,157,2016-01-08_09:47:47,False,http://pbs.twimg.com/profile_images/1300348346641428480/XGkJIS7x_normal.jpg,,
1493807809196326914,2022-02-16_13:41:49,"RT @Sakura0323moti: 彗星の如く現れたスターの原石！
アイドルVTuberの星街すいせいテーマの壁紙です☄️

DL：https://t.co/3UXifyEwT8
#ほしまちぎゃらりー https://t.co/QGhhttrEvX",0,697,4479702373,pekori09,ぺこり,シャドバ、プリコネ、モンスト、Apex         社会人3年目,223,829,2015-12-07_07:41:05,False,http://pbs.twimg.com/profile_images/1481905040587882497/naLi1yMo_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807807833198592,2022-02-16_13:41:49,"RT @KasuyaMofu: 【VTuberの皆様へ注意喚起】
Amazonの公開欲しいものリストを元に、電話番号を取得できる手法が存在します。

セキュリティ資格保持者として、手法が自アカで再現することを確認しましたので、対策がなされるまで、欲しいものリストを非公開にするこ…",0,1462,545331630,tomaniki_tmt,とまる。🍅,"FF14超初心者光の戦士＆ドラクエ10アストルティア民（半休止）
雑多につぶやきますので、フォローの際はご注意下さい！
📺Youtubeゲーム配信→https://t.co/2E0uKJXrP0
🎮Twitch→https://t.co/F81SYOocAl
✨アクセサリー創作活動垢→＠tomarigi_3",282,89,2012-04-05_01:19:04,False,http://pbs.twimg.com/profile_images/1490799548532346880/Y7APef6o_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,
1493807798303719424,2022-02-16_13:41:47,"RT @WolfSyun: 「吸血鬼すぐ死ぬ」OP歌ってみた
「DIES IN NO TIME」

◆Vocal
狼瞬-Wolf Syun-
（クレジット概要欄にて）

視聴はこちら
https://t.co/wMwBUiNooB

#吸血鬼すぐ死ぬ
#吸死クラスタさんと繋がり…",0,74,3005111473,WolfSyun,狼瞬-Wolf Syun-(ウルフシュン)@ダウナーボイスで歌う人外,歌ってみた/歌い手/シンガーソングライター/サウンドクリエイター/MIX/ボカロ Cevio/個人勢Vtuber(今年まで)/動画編集/稀にイラスト/#狼瞬アート 干し芋→https://t.co/ZsmyclLAfB サイト→https://t.co/PRwMminzVq マイペース更新,709,907,2015-02-01_01:26:12,False,http://pbs.twimg.com/profile_images/1438171174748315650/1L5Ahu0G_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/FKo1moXqPs
1493807795312807940,2022-02-16_13:41:46,"@pankopasapasa @Ricoeur1913 FF外から失礼します。
親指を舐めてしまう人
と言うのを例に出されておりますが

この場合、その人の""行動""が世間から見て逸脱している訳ですが

今回のツイートの件はVTub… https://t.co/vAW3Oh8kGv",0,0,4677113784,thindarosu_ch,てぃんさん@やっぱクトゥルフに落ち着く,こんなのお侍様のTwitterじゃない…もはや自分のフルネームがティンダロスだと忘れ始めた男🥊🐼🥊｜趣味のTRPGやガンプラ、ロボアニ ツイキャスに関して呟きます #てぃんさん |イラスト提供 螺子-K様 @_Neji_K,694,1239,2015-12-30_17:47:31,False,http://pbs.twimg.com/profile_images/1471636645652819968/4GrINvDh_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/MRYLsRUwGA
