ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493801965960134659,2022-02-16_13:18:36,今日も追加英語クラス終わりました。不定詞と動名詞がメインの日でした。どこか語学学校を終えてから「もう文法・単語は大丈夫だから」という感覚に浸っているので、この環境を活かして頑張ります。今週は早めに要約をして、ライティングを追求した… https://t.co/zzwFL3tfZW,0,0,790206708450664448,yk_daily_jp,ゆき｜カナダ留学中🇨🇦,英語学習｜元メーカー営業💼｜26歳｜社会人留学｜2021.06~(プログラミングCo-op留学)🇨🇦｜TOEIC:535点｜IELTS:OA5.5｜Cambly使用｜EOS80D｜GoPro｜ブログにカナダ留学の情報をまとめてます｜英語はカナダで再開｜地元レストランでバイト中👨‍🍳,98,1166,2016-10-24_00:02:15,False,http://pbs.twimg.com/profile_images/1421105110101348354/UBDnvatS_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/fivkMIUajE
1493801920368033796,2022-02-16_13:18:25,RT @geekfujiwara: YouTubeで親子向けのPower Platform 講座なんてどうかなぁ？親が子どもにPower Appsとかを使ってプログラミング教育。 #YouTubeIdea,0,3,1262601214052536321,baru_it,ばる,ゆるっと生きよう（最近転職しました）,301,46,2020-05-19_13:29:28,False,http://pbs.twimg.com/profile_images/1263809654976425985/aBIctn5m_normal.jpg,,
1493801862138851329,2022-02-16_13:18:12,"RT @cluster_jp: 🥳【新機能情報】🥳
プログラミングなどの専門知識がなくてもスマホで・誰でも・友達と・簡単にメタバース空間が作れる！
「ワールドクラフト」機能が16日の昼12時にリリースされます☺️
ぜひ遊んでみてください✨
https://t.co/v5Hq0v…",0,1047,36569619,kiyoshi_shin,新清士@VRゲーム会社 Thirdverse CSO,開発会社Thirdverse CSO チーフ・エヴァンジェリスト／デジタルハリウッド大学院准教授でもあります／かつて、ゲーム脳問題をジャーナリストとして取材した立場から、ゲーム規制条例問題についても積極発信します,2717,35608,2009-04-30_11:34:03,False,http://pbs.twimg.com/profile_images/570258232968552448/lfXJ6w2b_normal.jpeg,http://abs.twimg.com/images/themes/theme6/bg.gif,https://t.co/AYC6SRlWoS
1493801853569896448,2022-02-16_13:18:10,"Java
webサイトやwebサービスなどに活用されているプログラミング言語。Javaの記述ルールは非常に細かく厳格なため、プログラミング初心者には難しいと思われがちですが、初めに勉強すると他の言語が比較的楽に感じるというメリット… https://t.co/4mqxQW2ERB",0,0,1311258500824068097,kninok126_0928,ムブ@文系卒・未経験から自社開発webエンジニアに転職,Fラン文系学部→銀行営業職→自社開発企業のwebエンジニア。主にwebサイト開発、アプリ開発、保守・運用を業務としてます。プログラミング完全未経験から約5ヶ月でwebエンジニアに転職。その時の経験談をブログで発信してます。IT業界に就職・転職を考えている方、少しでもIT業界に興味がある方はぜひご覧ください！,83,66,2020-09-30_19:56:12,False,http://pbs.twimg.com/profile_images/1484461665013800970/dWi8ujJL_normal.jpg,,https://t.co/aqTsfEKaoF
1493801821265084417,2022-02-16_13:18:02,今すぐ試したい！ 機械学習・深層学習(ディープラーニング) 画像認識プログラミングレシピ Kindle版 https://t.co/DX0LXpfJRM,0,0,1380248029215612929,lufa_presents,おすすめプログラミング本,"機械学習,AI,統計,python,DXに関する書籍をつぶやきます。Amazonおすすめ本＆Kindle Unlimited対象プログラミング本を主に扱います。アマゾンアソシエイト参加者です。Amazonおすすめ書籍一覧→https://t.co/jokFjs0xYp",203,536,2021-04-09_04:55:59,False,http://pbs.twimg.com/profile_images/1385947394693500928/dGjJxv4e_normal.jpg,,https://t.co/ChEnCUVWgL
1493801711789510657,2022-02-16_13:17:36,"RT @bou88888888: 独学でプログラミングを続ける人が多いですが
挫折率90%といわれるように
おそらく続きません

独学はほとんどの場合効率が悪く
時間とともに気力・目的を失うからです

正しい忠告(※)をくれる人と並走して
カフェで仕事ができるようになりましょう…",0,11,1285866419125551104,bou88888888,ぼぉ＠プログラミング伝道師,【初心者でも半年でプログラミング脳になり理想が叶う！】プログラミング36年、エンジニア8年の現役。30人以上指導、10人以上の技術リーダを輩出。プログラミングが進まない・わからない・この先の変化に不安…そんなあなたに「本当に必要な基礎・頭に入りこむ学習法・変化に強い思考法」を下方の固定ツイで伝授します！⇩,1467,1205,2020-07-22_18:17:24,False,http://pbs.twimg.com/profile_images/1404052921487020032/HdnGllQb_normal.jpg,,https://t.co/dll8pl35HM
1493801663278161921,2022-02-16_13:17:24,"RT @ooookaeeee: #ArtLarry
プログラミングがちょっとできるようになって嬉しい。。",0,1,1439916865740935173,artsessionproj,ART SESSION PROJECT,『芸術を私たちの手元に置く』 アートセッションプロジェクトは、地元安曇野・松本で気軽に芸術活動に触れられるよう、新しいイベントを企画しています。,4,10,2021-09-20_20:38:43,False,http://pbs.twimg.com/profile_images/1439917045479444481/wLxiZz4H_normal.jpg,,https://t.co/xr9tMqSzkh
1493801610715090946,2022-02-16_13:17:12,"python知らんこと多すぎてイライラするな
さてはプログラミング向いてない？",0,0,863904353001717761,sunshine_hrtn,はるたん,阪大ΣM1 valorantとかlolとか,220,188,2017-05-15_08:50:23,False,http://pbs.twimg.com/profile_images/908299191008374784/Iwl6Ipl3_normal.jpg,,
1493801532227461123,2022-02-16_13:16:53,プログラミング言語には表計算も入るんですよ。はいはい。どうせいつもの進次郎構文だと思うんでしょ？もう慣れましたよ。 https://t.co/5wNeXXYChX,0,0,772778421772439553,RlE70771197,アキオ💪 ( ⁼̴̀꒳⁼̴́ ) 💪やっと半人前,👉DB専門エンジニアになった3✕歳おっさん 👉「アキオ君明日ハローワーク行こっか！」エンドに毎日怯える「バイト」エンジニア👉ITエンジニアを志してもうすぐ2年。実務経験は約1年 👉駆け出したちにリツイートで情報のお裾分けをしています 👉「レベルアップするのが楽しい」が俺のモチベ🥳,1669,1570,2016-09-05_21:48:28,False,http://pbs.twimg.com/profile_images/1485978540088913920/THswXUiV_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493801477617631235,2022-02-16_13:16:40,プログラミングの話するとすぐよくわからんアカウントにフォローされるな かまわんけどわたしのツイート本当に見たいと思ってるか…？なぁ？ちゃんとbio読んだか？百合好きならまあいいけどさ…,0,0,781932368340725760,aszmch35,アサヅマ,成人済┊マジカルゴ・他版権┊百合BL夢男女┊V垢 ⇢ @nduoudn,528,222,2016-10-01_04:02:59,False,http://pbs.twimg.com/profile_images/1425505140669247489/SImtYdBL_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/fDlxKGhgJm
