ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807842826272771,2022-02-16_13:41:57,"【交換・譲渡】にじさんじ 🌈🕒 缶バッジ 4th 4周年 缶バッジ アクリルカード アクカ クリカ にじ ストア 特典 アニメイト

譲）🎤

求）6点纏めて送料込2,000円

初回プロカ＆固定ツイート必読。 https://t.co/oOO2S3rG5k",0,0,2850652224,fei77871,きなこ@固定必読,成人済み社会人。郵送or手渡し。ゆうちょ/みずほ対応。手渡しの場合は基本、池袋(他都内要相談),958,954,2014-10-11_01:44:31,False,http://pbs.twimg.com/profile_images/1474398127683948547/Dl2Oo_wv_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/B8zU437LKp
1493807763491008512,2022-02-16_13:41:39,"【交換】にじさんじ 4th Anniversary 4周年 トレーディングアクリルカード トレカ

譲) 🎤、🥂✨、⚔、☯️、👑、🥼🌱😺、❤️🔥、🐰
求) 🎲最優先、💧

・🚺2:🎲1 or💧1との交換可能
・💧は🚺との交換のみ… https://t.co/JOG0Eh95Wx",0,0,1420741600880119810,todono2br,十度乃,二兄弟 | 取引垢 | 本人周辺B済,53,5,2021-07-29_22:43:03,False,http://pbs.twimg.com/profile_images/1421005918070743044/vfRljYD6_normal.jpg,,
1493807711363821569,2022-02-16_13:41:26,"RT @inui_toko: 8時から朝雑談です🍹
寒さを吹きとばせ…

🔽待機所🔽
【朝雑談】バレンタインで浮かれたのち2月が半分以上過ぎたと実感する【戌亥とこ/にじさんじ】 https://t.co/kFJ43SMNag @YouTubeより",0,295,863610510981251072,kia_pink_,きあ,好きなもの垢。推しは推せるときに推せ！が身に染みるこの頃……基本無言だけどなるべく推し活していきたい,146,209,2017-05-14_13:22:45,False,http://pbs.twimg.com/profile_images/1356614636494151685/iCzd0KLU_normal.jpg,,
1493807660080136193,2022-02-16_13:41:14,"RT @koga_kmdd: にじさんじに関わらせて頂いていた当時から自分の力不足を感じて悔しい思いをしていたので、一度距離を置いて自分の力で出来ることをやってみよう！という段階が今です。最近にじさんじのお話をあまりしないのはその為です。
いつか私のイラストで全員の度肝抜かして…",0,22,1219818988978331648,shirakabaotaku,白樺@万年金欠オタク,様々な界隈の片隅に居るオタク。推しカプは箱推し。雑食。ミュート推奨。 感想や意見はこちら→https://t.co/kTMxpOWuyO,2860,183,2020-01-22_12:08:18,False,http://pbs.twimg.com/profile_images/1289401827637641216/RJcWg3X3_normal.jpg,,https://t.co/V8qOVfvaaw
1493807656024547329,2022-02-16_13:41:13,"野良VCの乗せるつもりの無い音声事故と配信に乗せるつもりの無い二重事故に爆笑する叶とRobiN【にじさんじ切り抜き】 https://t.co/fK8PFciDGu 

ゴキゲンなお歌と後でしゅんとする野良さんがかわいすぎて全員爆笑
Valorant楽しそうだなｗ",0,0,1474985148,citrutos,しとろ,趣味漫画を作ってます🍓,106,587,2013-06-02_00:38:49,False,http://pbs.twimg.com/profile_images/1492546091161890816/DOrP3UZL_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,https://t.co/gsmfYGtjLq
1493807628618993669,2022-02-16_13:41:06,"RT @animateinfo: 【にじさんじ 4th ANNIVERSARYフェア in animate】が好評開催中！

＜2/19(土)＞より4周年グッズの第2弾が発売開始★
ぜひ第2弾特典【にじさんじ アニバーサリーブロマイド(全14種)】と一緒にお手元にお迎えください…",0,4535,1313048702555099138,Hakazemomoka,ねむ‏ᜊﬞﬞ𓈒𓂂𓏸,"羽風薫
成人済  フォロー非推奨です
最近自分の中で甲斐田晴が""きてます""",3498,35,2020-10-05_18:29:51,False,http://pbs.twimg.com/profile_images/1397163273380777985/cYItTMdY_normal.jpg,,
1493807624877654016,2022-02-16_13:41:06,"このアカウント２年前に作ったやつなんだけど、まだツイート数が2,000なんて信じられる？てかそもそもにじさんじ見出して２年経ったことがすでに信じられない",0,0,1247923725053263872,xyq_01,みちゃ,✎ᝰ https://t.co/I3BWkriatJ,56,55,2020-04-09_01:26:23,False,http://pbs.twimg.com/profile_images/1420720406269333514/P3xVyhry_normal.jpg,,
1493807624726319104,2022-02-16_13:41:05,にじさんじの広告オリンピックに潰されてた,0,0,1407323530857914372,usuzumi_K,薄墨ケイは建国中,薄墨（うすずみ）ケイです！ 主にゲーム配信！夢野ママ@yumeno_mir 21/06/25デビュー リンク置場:https://t.co/7Nzl9SJNnl,325,373,2021-06-22_22:04:21,False,http://pbs.twimg.com/profile_images/1493309586811412486/1b2p_eE7_normal.jpg,,https://t.co/fIVKRrV9l1
1493807605177004036,2022-02-16_13:41:01,"RT @sakumo1129: 甲斐田だけ呼び捨てにするリスナーに笑う戌亥＋他にじさんじライバーの呼び方【戌亥とこ/にじさんじ/切り抜き】 https://t.co/WQiFHJmQc0
シンプル甲斐田で笑う",0,4,3041981726,kia_lcm2,きあ,"突然🌈🕒にハマり、行き場の無い衝動を叩きつけたいがために作られた場。
基本的に壁打ちがうるさい。ゆるっと🔺箱推し。
🍬https://t.co/kt1nAhQOH0",111,54,2015-02-26_10:19:07,False,http://pbs.twimg.com/profile_images/1449406303554531331/zKOngoeT_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/yGBSNk1y1P
1493807604362932226,2022-02-16_13:41:01,"RT @HiguchiKaede: 今日１９時よりプレミア公開！
【FF14】完全初見・エレメスキャラメイク【にじさんじ / 樋口楓】 https://t.co/dQIfKnVl7Y @YouTubeより 

コラボ前にソロで初見キャラクリした時の動画です！
３時間ぐらいの録画…",0,301,1125274441951219712,2g3gbot,ばずさんじ,にじさんじメンバーの一定以上のRT(300以上)もしくはfav(2000以上)を獲得したツイートを自動でRTするbotです。,112,24,2019-05-06_14:41:48,False,http://pbs.twimg.com/profile_images/1127239331586777088/yEsHeG2I_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,
