ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807875990650884,2022-02-16_13:42:05,"【終国】バチャ豚さん、潤羽るしあさんの騒動を受けて引退表明……「まふまふさんはずっと自分を憎むと思います」←これ
https://t.co/BKxgkiBprw",0,0,1356809310253117446,moo51590540,moo,初心者です。よろしくお願いします。,20,33,2021-02-03_12:38:48,False,http://pbs.twimg.com/profile_images/1362948308897959938/7x9jivwd_normal.jpg,,
1493807864955097089,2022-02-16_13:42:03,るしあさんのメンヘラキャラってキャラ作りしてるのかと思ったけどガチなんやw初知り,0,0,758577652991078400,fuuca0805,ふうかfuuca🗝,🇯🇵/20/APEX 400 2.3 0.9 110 16:10,838,56,2016-07-28_17:19:40,False,http://pbs.twimg.com/profile_images/1491479939652423681/Ev1xAkJI_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807708503371776,2022-02-16_13:41:25,RT @hi7_sun2: るしあwip https://t.co/gc3owmW7qL,0,1014,1238499177492926465,cndEU1DhRUoQGwE,とある,モンスト R513 FGO R131 最近はこのファンにハマってます他にはパズドラ、白猫、荒野、ポケモンやってます ボードゲームなどもします(麻雀、オセロ)スロット(物語シリーズ)だけですがします ゲー担アカ気軽にフォロー、絡んでください推し鯖は北斎です,123,14,2020-03-14_01:17:10,False,http://pbs.twimg.com/profile_images/1244505947977940993/5Y7W3lxJ_normal.jpg,,
1493807646054699008,2022-02-16_13:41:11,RT @hi7_sun2: るしあwip https://t.co/gc3owmW7qL,0,1014,1352943276257492992,NISA_0495,NISAさん🦋,VTuber専用垢👻ホロライブの沼にハマってる人(にじさんじとのリプロも見てます) #ホロライブ箱推し  #ホロライブ3期生推し #ホロライブ好きな人と繋がりたい  #潤羽るしあ,83,11,2021-01-23_20:38:14,False,http://pbs.twimg.com/profile_images/1479999490132410369/bUIY-NAr_normal.jpg,,
1493807636114214922,2022-02-16_13:41:08,"RT @Rusia_1000turu: 素敵さを語るには文字数がﾀﾗﾅｲ_(┐「ε:)_

つまり！
バトスピ最高！

うすいさんからきっかけをもらってみんなと出会えてて....
輪を広げて行きたいから
るしあももっとバトスピをお勉強して
こんなにかわいい女の子がいるんだよ！…",0,28,934056037119754241,ccc_word,サク,面白いことは言えません、綺麗事も好きではありません、そんな退屈で汚れきった事を宣う様に並べてみましょうや,180,347,2017-11-24_22:48:07,False,http://pbs.twimg.com/profile_images/1245033007913689089/fjjdqNU4_normal.jpg,,
1493807597396246535,2022-02-16_13:40:59,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,3171144631,asashio_moi,モイ,Skeb https://t.co/x2Xn8pUqQl お題箱https://t.co/ZNa14KL9Qk 干し芋https://t.co/iKHFFpGbHa… たまに絵を上げる@83moi821,287,357,2015-04-25_02:43:13,False,http://pbs.twimg.com/profile_images/1404198780061159424/W1J77g8e_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/mb6AEabDvB
1493807529343684609,2022-02-16_13:40:43,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,3319949630,azusuke0812_22,進化するあずにゃのすけ_SSRB,ゲームではazusukeとも名乗ってます ハルカゼのMVが無いとしぬ男 白ワインもええな #あずのみ ☆現在ハマってるラノベ 「#王女殿下はお怒りのようです。」著：八ツ橋皓 イラスト：凪白みと ｢ #公女殿下の家庭教師 ｣ 著：七野りく イラスト：cura #あず読み pLL推しです🦇🎀📚🔔🧬🌿です,1907,383,2015-08-19_20:34:56,False,http://pbs.twimg.com/profile_images/1191462328463552512/lXsEFppb_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/cbkvMOPB6k
1493807526114041860,2022-02-16_13:40:42,RT @moyashi_yukarin: んほぉぉぉぉ！！！イクっ！イクっ！潤羽るしあ32歳！！バチャ豚の前でまふまふにぶち犯されてアクメキメるぞぉぉお！！見てろよふぁんでっど！フッフッフッフ！！,0,53,1399473190070484993,hcf_777,処〇狩りマスター,可愛い息子→@ninzin_1021,133,351,2021-06-01_06:09:53,False,http://pbs.twimg.com/profile_images/1493787636724469764/T5vxyLta_normal.jpg,,
1493807422913527808,2022-02-16_13:40:17,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,883853034182160384,DeviLockvill,デビ@Belias,FF14とグラブルとシャドバとApexとポケモンユナイトの人。ヘッダーはえびまよ @mayoXIV 作,247,91,2017-07-09_09:59:19,False,http://pbs.twimg.com/profile_images/1306241828560105473/4w40-D4d_normal.jpg,,
1493807368504815623,2022-02-16_13:40:04,"RT @TL2nd: まふまふ「るしあ！中に出すぞ！」ビュルル

～数日後～

るしあ「デキちゃった♡」

まふまふ「チッ、、、、、」ボゴォ（腹を殴る

まふまふ「これが、”命に嫌われてる”だぁぁぁぁ！！！！！」",0,3867,1399473190070484993,hcf_777,処〇狩りマスター,可愛い息子→@ninzin_1021,133,351,2021-06-01_06:09:53,False,http://pbs.twimg.com/profile_images/1493787636724469764/T5vxyLta_normal.jpg,,
1493807283607719936,2022-02-16_13:39:44,"RT @pu_lona: #絵クロマンサー
るしあちゃん 🦋 https://t.co/CCw8hhHdAC",0,49,1298284547361169408,Akirasuzc1,Akira🦋👯‍♀️,"Solo retwitteo cosas, nada especial.
I just retweet things, nothing special.",124,14,2020-08-26_00:42:34,False,http://pbs.twimg.com/profile_images/1434350030262050817/Oxey3M3h_normal.jpg,,
1493807259402473477,2022-02-16_13:39:38,@pkr_oxo るしあお… 君の事は僕が守るよ…,0,0,1408783188000796677,ozinsan1208,じんさん,コンパス4ね 男だょ,155,94,2021-06-26_22:44:32,False,http://pbs.twimg.com/profile_images/1451117638852087811/TB3Ll1Au_normal.jpg,,
1493807240490352642,2022-02-16_13:39:34,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,3858501912,Yiroha_nihoheto,6.0クリアした彩葉,グラブルとウマ娘とFF14をその時の気分で 猫は好きだけど飼ってません,624,190,2015-10-11_21:48:33,False,http://pbs.twimg.com/profile_images/1419314256529424387/Sjrg4VkX_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807205443043330,2022-02-16_13:39:26,RT @nyanpassnanon: 潤羽るしあ、ばいばいなーん,0,4297,843643502336520193,negitorocc,ねぎとろ,逆張りオタクです,807,860,2017-03-20_11:00:59,False,http://pbs.twimg.com/profile_images/1456962278272925696/CMJ_qcCA_normal.jpg,,
1493807143363149826,2022-02-16_13:39:11,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,149562277,star027,大★,一生一オタクでありたいと思う。,316,194,2010-05-30_01:16:41,False,http://pbs.twimg.com/profile_images/1431521264070377474/pKobVJbM_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,
1493807136891355141,2022-02-16_13:39:09,"RT @hololivetv: 【お知らせ】
2月20日(日)実施イベント「 3rd Anniversary ガリベンガーV 超感謝祭」に関して、
出演予定の潤羽るしあが体調不良の為、出演を辞退させて頂く事となりました。
出演を楽しみにしてくださった方々には、誠に申し訳ございま…",0,7028,1127135228886016000,rika_12__,りか,管理  1B,29,18,2019-05-11_17:55:54,False,http://pbs.twimg.com/profile_images/1425383041535332356/9RbArzQF_normal.jpg,,
1493807103005237248,2022-02-16_13:39:01,RT @hi7_sun2: るしあwip https://t.co/gc3owmW7qL,0,1014,1374195650485575681,L7hdXoLpCjaOz1k,仮☪ ️👿🐙,百合薔薇好きのロリショタコン VとASMR、スマブラ、ポケモン、ぷよぷよ、テトリス辺りが好きなゲーマーです！,1326,83,2021-03-23_12:06:06,False,http://pbs.twimg.com/profile_images/1374195956732731395/TZ2aVPgW_normal.jpg,,
1493807088992387075,2022-02-16_13:38:58,RT @hi7_sun2: るしあwip https://t.co/gc3owmW7qL,0,1014,1368777913,Watts_D8,Watts,葉巻好きだったオタク。18歳未満はご遠慮願います。主な関心事は政治その他。素性の分からない鍵アカウントはブロックしておりますのであしからず。,1393,1292,2013-04-21_14:46:31,False,http://pbs.twimg.com/profile_images/3552541630/4a381dbea84ffee8f7203573fddd8ec0_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/Xol6K0jnlY
1493807074886950917,2022-02-16_13:38:54,この辺考えると、正直復帰はかなり厳しいんじゃないかなって個人的には思ってる。るしあ当の本人も配信できるかって問題も含んでるしね。,0,0,869912408008957952,85senpuro,85senpuro,表で出せないことを色々扱うアカウント,4,1,2017-05-31_22:44:15,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
1493807062953840640,2022-02-16_13:38:52,"RT @cover_corp: 弊社所属タレント『潤羽るしあ』に関するご報告
https://t.co/YeRiCBm9Ud",0,30303,2903994060,Re_soluna,リソルナ🍘🦇,あれが一位なら推しマーク付けるって言ってたので付けます,1056,220,2014-11-19_10:42:57,False,http://pbs.twimg.com/profile_images/1469259880485691392/Ns_wlpbf_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/xQcIaTjIML
