ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807825117753361,2022-02-16_13:41:53,RT @R_GameTV: 3DSとWiiUのeショップ終了するという事は、この2つのハードでしか買えない「GB」「GBA」「DS」「Wii」のバーチャルコンソールももう買えなくなるんすよね……買えるうちに欲しい物は買っておかないと……,0,1036,35158904,electromonotone,むーぐ,メモ用。,185,320,2009-04-25_14:45:47,False,http://pbs.twimg.com/profile_images/1179862543306637312/tHVsBCSk_normal.jpg,http://abs.twimg.com/images/themes/theme18/bg.gif,
1493807819912806400,2022-02-16_13:41:52,RT @R_GameTV: 3DSとWiiUのeショップ終了するという事は、この2つのハードでしか買えない「GB」「GBA」「DS」「Wii」のバーチャルコンソールももう買えなくなるんすよね……買えるうちに欲しい物は買っておかないと……,0,1035,963654810447876098,Asakami_Yurai,朝神佑来／あさかみずき,パソコン転生した アイコンは@kotonaki_Lさん、ヘッダーは@yongou_ira_ivさんからいただいたもの（ありがとうございます）渇望https://t.co/TukcD0zNNG,407,446,2018-02-14_15:03:05,False,http://pbs.twimg.com/profile_images/1451601256909139974/3ZZRNmHp_normal.jpg,,https://t.co/3aPsunuZYY
1493807818226368516,2022-02-16_13:41:52,"@shikano_osushi やっぱ大きな障害が無いとこうやって急成長できないんやなって
バーチャル風俗のレポ待ってます",0,0,942435762481405953,JumpingDogezaEX,P.E.P.,【※現在このアカウントは、端末を介さずに脳から直接ツイートする技術の試験運用中です。】,479,130,2017-12-18_01:46:10,False,http://pbs.twimg.com/profile_images/1351529791338385409/uy7xG1gB_normal.jpg,,https://t.co/e0uVZgulmY
1493807816997765120,2022-02-16_13:41:51,"RT @mizo_oti_FE: 3DSとwiiUのニンテンドーeショップの終了予定にともない、オタクがするべき事はただ2つ
・3DSでFEifのDLCを購入する
・wiiUでMOTHER3のバーチャルコンソールを購入する
この2点だけ覚えて今日は帰ってください　仕事はしなくて…",0,687,116180366,amanouti,天之内ビョウ@ひめのぎ,漫画とか描いたり描かなかったり、アニメ・ゲーム・ドラマ実況がやや多めです。ブレイズ、ユグドラ等のスティング作品/ダンボール戦機/日常/バーチャロン/バディファイト/特撮…等々。爆死夜襲。,488,423,2010-02-21_22:24:20,False,http://pbs.twimg.com/profile_images/1285497157210890241/bxRIkRVv_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,http://t.co/DmlgSkX5S1
1493807802904907776,2022-02-16_13:41:48,"WiiUと3DSのバーチャルコンソールが終わる。
システム屋勤務なので、その理由はなんとなくわかる。

とはいえ、FEファンとして考えると・・・6本ぐらい新規ユーザーが正規に手に入らなくなる作品が、、、
Switch版でないかなー https://t.co/hXBSJxKMaP",0,0,49699475,udadesu,うだ,Sierで内部監査してる人。ゲーム、モバイル、日本酒、焚火、たまに自転車,414,317,2009-06-23_02:34:18,False,http://pbs.twimg.com/profile_images/1515585088/icon13144342371183_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,
1493807802800025600,2022-02-16_13:41:48,WiiUも地味に終了ならバーチャルコンソールで欲しいの調べて買っておきたいかなぁ、SwitchだとGBA系とか一部やれないのがあるのよなー(いつか追加あるかもだけど先だろうし),0,0,3041842112,hordialiy21,ホーディアリー@気ままなゲーマー,RPG大好きなふわふわのほほん勢(他称)気ままにソシャゲと色々齧ってる民 RTふぁぼ壁打ち多め、アイコンはおはっちゃんからの貰い物だから二次利用しないでね ※ RBMご自由にー,448,309,2015-02-26_08:27:35,False,http://pbs.twimg.com/profile_images/1039739445010944008/OmRrKvQd_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/YcwfOue9l6
1493807791647387648,2022-02-16_13:41:45,"あー、そうなるほど、ふーん
って思ってたが、
えっ
バーチャルコンソール全滅するってこと！？！？ https://t.co/gGATcdDaLI",0,0,114418536,sasinukeru,笹流,"ガムシャラ競馬と下手くそスマブラ
あとニチアサと漫画の感想を流す",376,317,2010-02-15_19:12:38,False,http://pbs.twimg.com/profile_images/1467523065567272966/DNl2W87m_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,https://t.co/DaTas6vUYb
1493807785292996611,2022-02-16_13:41:44,"RT @KAKASHIZA_jp: ✅バーチャル鑑賞会『赤ずきん』ご視聴、ありがとうございました❗️
『三枚のおふだ』『赤ずきん』そして昨日の「卒業〜Special Hand Shadow Show 」は2月17日までアーカイブでご覧いただけます❗️
これからも楽しい影絵のエン…",0,8,1105335848894050304,saku_kakashi,saku@かかし座 影絵女子,劇団#かかし座 舞台部、#影絵女子 です！毎日のいろいろ、宣伝を呟いてます！ フォローお気軽に✨ insta: sakuramoto.kakashiza #影絵 #手影絵 ほしいものリスト: https://t.co/3yJ81Nqzu8,192,191,2019-03-12_14:12:57,False,http://pbs.twimg.com/profile_images/1419320350500814848/XFguZMEt_normal.jpg,,https://t.co/uXCgyy8Mj7
1493807773129183232,2022-02-16_13:41:41,"RT @asagayanoane: 昨夜告知するつもりでしたのに、今頃になってすみません。
本日2/16(水)11:55｢ヒルナンデス！｣阿佐ヶ谷姉妹の秋田旅前編。今回は
男鹿から始まり、乳頭温泉まで。
雪深い秋田で思い出がかまくらの様にてんこ盛り！姉妹とご一緒にバーチャル観光…",0,402,608982276,hanatarehanaco,肉糞花子,,115,51,2012-06-15_17:27:29,False,http://pbs.twimg.com/profile_images/1327980052223463427/vohgYcgr_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807760206856193,2022-02-16_13:41:38,"@nijiiro_commune うん、ありがとう😊
JINSのHPにバーチャル試着みたいなのあって色々試して見た😆
次は買う！",0,0,1284270545928740865,KShimon7,K.Shimon,LGBT(Q)🌈、40↑、セラピスト復帰検討中、心身の癒しと本来の自分に戻れるお手伝いがしたい✨、病気にならない世界を創るプロジェクト参入、質問箱▷▶https://t.co/ehjCodjTrn,249,205,2020-07-18_08:35:55,False,http://pbs.twimg.com/profile_images/1446487769954471936/Q6QF4cB6_normal.jpg,,https://t.co/Og4OMEB8c0
