ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807236195528705,2022-02-16_13:39:33,"RT @fushiroyama: 生きる力がなさすぎて定形外郵便に84円切手を貼ってしまい料金不足で返ってきたので、120円にするために
・84円
・20円
・10円
・5円
・1円
円を注文する羽目になった…完全に競技プログラミングの組み合わせ問題じゃねーか🥺
（AtCode…",0,30,118320082,moai501,moai501@ワクチン2回目,"エログロRTします
ｸｿﾘﾌﾟします
フォロー制限かかりました",5001,3129,2010-02-28_17:38:00,False,http://pbs.twimg.com/profile_images/974090545663324160/m9pRaDYQ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807179694211072,2022-02-16_13:39:19,"RT @Dream_Library_: IBM パンチカードを差し上げます
コンピュータの発達史を学ぶ際の重要な歴史教材です
IT教育、プログラミング教育に携わっている方に、送料含めて、無料で10枚セットを差し上げます
WEBサイト、ブログ、SNSにて、IT教育に携わっている事…",0,43,128748586,goripon_tw,ごりぽん,そろそろ五十路プログラマ。MSX/レトロPC/レトロゲーム界隈で出没中。MSXAの中の人の一人で(一応)元・公式MSXエミュプログラマ/現・MGSDRV管理者。美少女ゲーも大好き。無条件の相互フォローはしていません(プロフ見てからフォロー決めてます)のであしからず。ウマ娘トレーナーID:719429323,165,649,2010-04-02_11:46:28,False,http://pbs.twimg.com/profile_images/642022390042484736/w7dVZucr_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/FaKZpmfLxP
1493807174119997440,2022-02-16_13:39:18,"RT @fushiroyama: 生きる力がなさすぎて定形外郵便に84円切手を貼ってしまい料金不足で返ってきたので、120円にするために
・84円
・20円
・10円
・5円
・1円
円を注文する羽目になった…完全に競技プログラミングの組み合わせ問題じゃねーか🥺
（AtCode…",0,30,253539506,tanaka_733,たなか 🍣🍖🐡🐳,"低温物理(物性/実験)出身エンジニア。New Relic K.K. 勤務。 Microsoft MVP (Azure, C# , Q#)。コンテナ(論理)や.NET CoreやVisual Studio、最近はQ#もやってます。野球はSwallows。For English:@TanakaTakayoshi",1042,1891,2011-02-17_22:05:55,False,http://pbs.twimg.com/profile_images/931707545504292866/0K7c8ebx_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/0IsPgHOHHs
1493807162958974976,2022-02-16_13:39:15,"旭川イジメ凍死事件

失踪前日まで熱心にプログラミングを勉強していた

https://t.co/GLa1gyJlOK",0,0,839848894670356480,news_type_c,NEWS JAPAN C【公式】,"リアルタイムにニュースを配信します。
いじめ、虐待、パワハラ等、時事のニュースを重点的に世界へお届けします。",7464,7352,2017-03-09_23:42:34,False,http://pbs.twimg.com/profile_images/1241511003902185472/PFS0PMTX_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807053508268032,2022-02-16_13:38:49,"#HTML #CSS #プログラミング #ADVANCE  #大阪 #堺市 #栂・美木多

【第26回】フッターの役割を理解しよう！【ブログ】

フッターについて解説！
ヘッダーとセットで覚えておきましょう♪

https://t.co/xMIldkkFm1",2,0,1233405207758823424,ADVANCE_6639,【公式】ADVANCE【プログラミングスクール】,"大阪府堺市を拠点とするプログラミング教室です Scratch(スクラッチ)・HTML等のプログラミング言語を学べる教室 元エンジニアと元教師が運営中♪ 月額7,700～(詳しくはホームページへ) Mail→ps.advance6639@gmail.com LINEID→ps_advance 栂・美木多駅から徒歩約8分",5,23,2020-02-28_23:55:22,False,http://pbs.twimg.com/profile_images/1410271966112583684/3At90U_m_normal.jpg,,https://t.co/eAwUsipA0l
1493807001897426958,2022-02-16_13:38:37,"Qスカウト ロボティクス プログラミング
教科書発売のお知らせ

プログラミング初学者／未経験者が、
Robobloq社 Qスカウト基本セットを活用し、
Scratchでロボティクスプログラミングを
体系的に学習できます。… https://t.co/i5AyKG9p5l",0,0,1316688407838375939,RoboQuuCOM,RoboQuu,RoboQuu（ロボキュー）は、プログラミング学習に最適なSTEAMロボット教材を、企画、開発、販売しています。 教材は、幼稚園児から小中学生、高校生まで幅広く対応しており、今すぐ教育現場でご活用いただけます。また、学校の先生や塾講師の皆様のためのプログラミング授業支援や研修、授業代行等も承っております。,955,218,2020-10-15_19:32:48,False,http://pbs.twimg.com/profile_images/1316688546934083584/5B2qAq65_normal.jpg,,https://t.co/Yy32FQ42JC
1493806910335639552,2022-02-16_13:38:15,"RT @oaffpress: 皆さま、第17回大阪アジアン映画祭ラインナップ発表に向け、今、暉峻創三プログラミング・ディレクターが邦題決定などラストスパート中でございます💨💨
今週中の発表を予定してますので、もうしばらく、お待ちください🍵☕️

#OAFF2022",0,13,113906540,keinakata,中田圭,職業は映画監督。香港電影が命の源です。最新作「銀幕彩日」「夜へ…」「トリカゴ」「合間にて…」coming soon /「非金属の夜」「中野JK 退屈な休日」DVDリリース中/映画監督の小料理屋 麻布369 経営,998,2262,2010-02-13_21:26:00,False,http://pbs.twimg.com/profile_images/1154825513375916037/nWMaUkJm_normal.png,http://abs.twimg.com/images/themes/theme9/bg.gif,
1493806897249808391,2022-02-16_13:38:12,"モブプロやると他の人のコーディングの知見が得られるので時々やるのはとても良い！
おすすめのツール、コマンド、ショートカットも教えてもらえたりするのも良い😁

#エンジニア
#プログラミング 
#駆け出しエンジニアと繋がりたい",3,0,1223438650135863296,osamuchan0420,オサム@ITエンジニア,"27歳| 言語:TS/JS/PHP/Go/C# | FW: .Net/Vue/Nuxt | DB: MySQL/SQL Server | その他: オンプレ/Linux/WSL/Docker/AWS/アジャイル開発PO,SM経験/TOEIC820点",32,20,2020-02-01_11:51:24,False,http://pbs.twimg.com/profile_images/1480149751509426180/evkN85O2_normal.jpg,,https://t.co/LVET7veXwU
1493806887162507264,2022-02-16_13:38:10,YES!プログラミング,0,0,801970952955252736,yes_programming,プログラミング太夫,いっしょうけんめい生きています,16,18,2016-11-25_11:09:09,False,http://pbs.twimg.com/profile_images/801972498803761152/I4LcJcmp_normal.jpg,,
1493806866195165184,2022-02-16_13:38:05,"RT @bou88888888: pythonにおける条件判定文(if)の
使用パターンと使用例について
わかりやすく解説します

他のプログラミング言語でも
ほぼ全く同じ基本内容で

プログラミングの骨格レベルの
重要なものですので

ぜひ御覧ください。

#python #…",0,123,1245352575559327744,bou999999999,ぼお＠プログラミング伝道師,【初心者でも半年でWebアプリで収入が得られる】プログラミング歴36年、エンジニア歴8年の現役エンジニア。３０人以上にプログラミングを指導、１０人以上のキーマンを輩出してきました。プログラミングが進まない・わからない…そんなあなたに「どんな場合にも必要な真の基礎・わかる学習法・効果的な思考法」を発信します。,2869,2944,2020-04-01_23:10:12,False,http://pbs.twimg.com/profile_images/1354484355486244864/yxBkAQHt_normal.jpg,,https://t.co/dll8pl35HM
