ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807839458230278,2022-02-16_13:41:57,"RT @UMA_0126: ホロライブ2期生⚓🌙😈💋🚑

バレンタインシリーズ！
#あくあーと #シオンの書物 #百鬼絵巻 #しょこらーと  #プロテインザスバル https://t.co/1oYG7rj04H",0,620,1349532711417835523,chama_tanuki292,ちゃまたぬき🦋🌙⚓🎪🎣,"　vtuberのコスとかたくさんやりたいと思ってます！絵リツめっちゃします。
　絵師さんやレイヤーさんと繋がりたいです(*´ω｀*)！！ちなみに #ファンデッド
　あくシオしか勝たん！だが、マリルシ尊い‥。🦋🌙🏴‍☠🍙🥐⚓☃🎪
　ヲタ芸初心者！！！現在5ヶ月くらい　尊師：らてさん",831,75,2021-01-14_10:44:21,False,http://pbs.twimg.com/profile_images/1395696561254846466/n0x0O6cp_normal.jpg,,
1493807839361798146,2022-02-16_13:41:57,"正直いうと恨みはないがしつこいと思う。
ファイナルファンタジーもドラクエもスチャダラパーが
いってたようにしつこいと思う。俺が中学生のときのドラクエ2をホロライブの人が5人くらい繰り返してやってるのは　無間地獄かなんかに違いない。龍が如く5回みるとなにかいいことがあるのか？",0,0,68996145,M_M_hiro,＠ひろ,"単なる無職　 投資などの勧誘・銘柄の推奨は一切おこないません アルビン・トフラー　ロバートランザ　アンソニーアタラ　ロジャー・ペンローズ　スチュワート・ハメロフ　信者　カーツワイルは
入ってませんが微妙に好きです。",4794,2333,2009-08-26_23:37:19,False,http://pbs.twimg.com/profile_images/776040296840765440/YRZ6Lhdj_normal.jpg,http://abs.twimg.com/images/themes/theme2/bg.gif,http://t.co/jhSvsUFM0x
1493807809993281537,2022-02-16_13:41:50,"#れいりゃスペース
曲名で調べるよりキーワードとか歌手名ホロライブで調べると出てきやすいと思われます！",0,0,1467415450850328586,zyosyu_Kingdom,そらねこ🧪,こよりんしか勝たん,268,133,2021-12-05_17:48:19,False,http://pbs.twimg.com/profile_images/1484909147636506631/VTsTZTsr_normal.jpg,,
1493807725981368320,2022-02-16_13:41:30,"RT @pdotb_miii: メロンブックス様で昨年夏に出したホロライブのギャグ本を
委託してます。
冬コミやこみトレ、ホロクル等冬の新刊のついでによろしくお願いいたします。
https://t.co/eHqSmDgv8S
#めろん専売",0,5,218699615,pdotb_miii,みゐ輔丼(miisukedon),絵を描く、グッズ、ストック絵作り、ライブや喫茶店に行くのや展示鑑賞、ゲームや漫画、キャラ物好き。ローグライク、パズルゲー、PixelArt game遊び、ベース練習中。 https://t.co/Ul7QVoMneF Don't use my artworks on any other website.,242,255,2010-11-23_10:20:52,False,http://pbs.twimg.com/profile_images/1425042720154742790/c68wWDgy_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/MKfRblq24p
1493807694851219459,2022-02-16_13:41:22,"#れいりゃスペース 
キーワード検索→ホロライブで探せばある気がする",1,0,1448314205782740994,NunlUST_KoyO,ぬぬ@Luzt🧪,"ホロ&gbf(R.233)&ゆずソフト(ナツメ・めぐる推し)

holoXer

こよちゃ🧪ガチ恋
助手こよ甘々二次創作

るーらす発言多め
こよちゃ清楚派閥

18↑

何かあればDMまでどうぞ

Hymnus For KoyORi.",167,143,2021-10-14_00:46:39,False,http://pbs.twimg.com/profile_images/1485187553766477824/Rpredto4_normal.jpg,,https://t.co/6tGEtc1ckO
1493807649573699584,2022-02-16_13:41:11,"RT @hololivetv: 【📻お知らせ📻】
#響ラジオ ステーションで配信中の「ホロライブpresents Vのすこんなオタ活なんだワ！」第79回が更新🎉https://t.co/ltIRujGHyI

今回の #すこだワ はコーナー3本立て✨
リスナーのメールに #白上…",0,510,1412635076731424768,toripi_AC,とりぴ🏮,Vと音ゲとポケカとたまにイカ,137,96,2021-07-07_13:50:46,False,http://pbs.twimg.com/profile_images/1443007912121565191/cY1zZJ7i_normal.jpg,,
1493807629533315077,2022-02-16_13:41:07,第2回ほろ酔いAmongUs 各視点まとめ Part2(4～6試合目)【2022.2.13/ホロライブ切り抜き】 https://t.co/wv16yCQgc1 @YouTubeより,0,0,1664158994,pompombom1,紫野菜🌙⚓️,今日も今日とて推しがかわいい。 フォローは気が向いたら返します。ホロライブサマー復興委員会🌙⚓️🚑🍑🥟🏴‍☠️ /🧸☪️,2150,281,2013-08-12_13:39:15,False,http://pbs.twimg.com/profile_images/1483120029415936001/TJJRbbXe_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807615054266369,2022-02-16_13:41:03,"RT @kitasaya1833: 【199日目】

ホロライブ所属小悪魔VTuber常闇トワさん👾
1stEP『Scream』が発売されたりすごい・・・すごいんだ・・・

#1日1枚Vtuber #TOWART https://t.co/87zPEKnK1X",0,124,1377290861180936195,AF04012021,ぺいぺい☄,"実はホロライブ用のアカウントではない(日常垢で推しを叫ぶ狂人)
星詠み

星街に人生何回も助けられてます星街ありがとう

ヲタクパラノイア",396,238,2021-04-01_01:05:16,False,http://pbs.twimg.com/profile_images/1462808939469631489/9502q5H__normal.jpg,,https://t.co/vhnU4qCTxm
1493807565423005697,2022-02-16_13:40:51,"RT @ishXWQ7yJJVopif: 二次創作用垢作ってから初投稿です！
ホロライブ多めですが、頑張ります🐰✨
#ぺこらーと https://t.co/1xhCHowafb",0,136,1137679326797737984,mataniku_pekora,股肉@野うさぎ同盟👯‍♀️🎪🌸,@usadapekora/#野うさぎ同盟 👯‍♀️ @omarupolka/ #おまる座🎪 @sakuramiko35/ #35P🌸ホロリスの方はフォロバ100です！無言フォロー失礼します！,398,263,2019-06-09_20:14:23,False,http://pbs.twimg.com/profile_images/1480839387030388737/r8or_oAj_normal.jpg,,
1493807561505529856,2022-02-16_13:40:50,"RT @uu_uzuka: #潤羽るしあ (#ホロライブ )

私ヤンデレ好きなので！

こういう時は楽しいものを作って投稿するのが良きかと思いまして。
また元気な配信が観れますようにー！

#風船 #バルーンドール #バルーンアート 
#るしあ大好きだよ 
#るーちゃん大好き…",0,9,304471755,Zero287,ぜろ@焦がし民,"ニコニコ動画にてウッドバーニング作家としてアニメやゲームのキャラを焦がしてみた、という製作動画を投稿しています。
最近はVtuberさんにハマっています。自分のこと焦がしてくれっていう物好きな方がいらっしゃいましたら是非お声がけください",586,546,2011-05-25_00:32:45,False,http://pbs.twimg.com/profile_images/1251851079668559874/EwMuiKkt_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/oXhooWt5YO
